name,type,start_time,duration,"protected_id","data","index","byte_framing_error","header_sync_expected","checksum","checksum_mismatch"
"LIN","data",0.982880312,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.983401188,0.000494562,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",1.019422688,0.000777562,,,,,,,
"LIN","header_sync",1.020308187,0.000494563,,,,,,,
"LIN","header_pid",1.020829125,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",1.029384438,0.000777562,,,,,,,
"LIN","header_sync",1.030269937,0.000494563,,,,,,,
"LIN","header_pid",1.030790875,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",1.0693495,0.000777562,,,,,,,
"LIN","header_sync",1.070235,0.000494562,,,,,,,
"LIN","header_pid",1.070755937,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",1.07938375,0.000777562,,,,,,,
"LIN","header_sync",1.080269313,0.000494562,,,,,,,
"LIN","header_pid",1.080790188,0.000494563,0x000000000000001C,,,,,,
"LIN","data",1.081321,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",1.081841812,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",1.08236275,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",1.082883625,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",1.083404562,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",1.119466813,0.000777562,,,,,,,
"LIN","header_sync",1.120352312,0.000494563,,,,,,,
"LIN","header_pid",1.12087325,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",1.129402812,0.0007775,,,,,,,
"LIN","header_sync",1.130288313,0.000494562,,,,,,,
"LIN","header_pid",1.13080925,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",1.169359688,0.0007775,,,,,,,
"LIN","header_sync",1.170245187,0.000494563,,,,,,,
"LIN","header_pid",1.170766063,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",1.179382375,0.000777562,,,,,,,
"LIN","header_sync",1.180267875,0.000494563,,,,,,,
"LIN","header_pid",1.180788812,0.000494563,0x000000000000001C,,,,,,
"LIN","data",1.181317375,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",1.181837187,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",1.182358063,0.000494562,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",1.182879,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",1.183399937,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",1.219440375,0.000777562,,,,,,,
"LIN","header_sync",1.220325937,0.000494563,,,,,,,
"LIN","header_pid",1.220846813,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",1.229411438,0.000777562,,,,,,,
"LIN","header_sync",1.230296937,0.000494563,,,,,,,
"LIN","header_pid",1.230817875,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",1.269363562,0.0007775,,,,,,,
"LIN","header_sync",1.270249063,0.000494562,,,,,,,
"LIN","header_pid",1.27077,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",1.279350063,0.000777562,,,,,,,
"LIN","header_sync",1.280235562,0.000494563,,,,,,,
"LIN","header_pid",1.2807565,0.000494562,0x000000000000001C,,,,,,
"LIN","data",1.281287625,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",1.281808125,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",1.282329062,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",1.282849937,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",1.283370875,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",1.319488375,0.0007775,,,,,,,
"LIN","header_sync",1.320373875,0.000494563,,,,,,,
"LIN","header_pid",1.32089475,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",1.329405938,0.000777562,,,,,,,
"LIN","header_sync",1.330291437,0.000494563,,,,,,,
"LIN","header_pid",1.330812375,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",1.369372312,0.0007775,,,,,,,
"LIN","header_sync",1.370257813,0.000494562,,,,,,,
"LIN","header_pid",1.370778688,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",1.379419187,0.0007775,,,,,,,
"LIN","header_sync",1.380304688,0.000494563,,,,,,,
"LIN","header_pid",1.380825563,0.000494562,0x000000000000001C,,,,,,
"LIN","data",1.381355625,0.000494562,,0x00000000000000FE,0x0000000000000000,,,,
